"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Computational Thinking in Augmented Reality: An Investigation of Collaborative Debugging Practices","C. -Y. Chung; I. -H. Hsiao","CIDSE, Arizona State University, Tempe, AZ, USA; CIDSE, Arizona State University, Tempe, AZ, USA",2020 6th International Conference of the Immersive Learning Research Network (iLRN),"4 Aug 2020","2020","","","54","61","The uniqueness of Augmented Reality (AR) is its affordance to support learning abstract concepts by rich information, visualization and the integration of user-content interaction. Research has shown that abstract idea and invisible phenomena can be learned better with the support of AR. However, high complexity and conceptual Computational Thinking (CT), such as algorithm design and related programming concepts, are rarely studied empirically in the intersection with immersive technology. This study is aimed at addressing this issue and providing a piece of quantitative and empirical evidence to AR-supported Computer Science discipline-based learning. We designed a mobile AR-enabled application based on a CT framework and related AR affordances in the literature. This app can contextualize a programming debugging task and support program editing & CT learning. A controlled laboratory study was designed and conducted. The result of statistical analyses shows that participants with the AR support made better quality of programs with lower errors and less amount of code edits, compared to those without the AR support.","","978-1-7348995-0-4","10.23919/iLRN47897.2020.9155152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155152","augmented reality;debugging practices;learn to code;computational thinking;computer science education;collaborative learning;mobile app","Visualization;Task analysis;Debugging;Programming profession;Problem-solving;Computed tomography","","4","","17","","4 Aug 2020","","","IEEE","IEEE Conferences"
"Introduction to Computational Thinking for K-12 Educators through Distance Learning","E. C. Oliveira; R. A. Bittencourt; R. P. Trindade","UEFS – State University of Feira de Santana, Feira de Santana, Bahia, Brazil; UEFS – State University of Feira de Santana, Feira de Santana, Bahia, Brazil; UEFS – State University of Feira de Santana, Feira de Santana, Bahia, Brazil",2019 IEEE Frontiers in Education Conference (FIE),"12 Mar 2020","2019","","","1","9","This Research-to-Practice Full Paper evaluates an online programming course for K-12 educators that aimed to teach Computational Thinking (CT). CT is widely defined as a set of skills, such as problem solving and systems design, that rely on Computer Science principles. As these skills are increasingly demanded in modern society, it is critical to include CT in K-12 education to boost not only computing courses, but various other disciplines. However, most educators do not yet know the basics of CT and Computer Science fundamentals, particularly in Brazil. In this context, we designed and implemented an online programming course for K-12 educators to provide qualification in CT and Programming basics, as well as to assess learners' attitudes towards Computing, how their motivation are expressed during the course, and the correlation between motivation and attitudes. The results indicate that participants' attitudes towards Computing has become more positive after the course, primarily their comprehension of CT and confidence to learn Computer Science. The outcomes also suggest a high level of learners' motivation over the course, and reveal a high correlation between the relevance expressed in the course with their interest and confidence towards Computing.","2377-634X","978-1-7281-1746-1","10.1109/FIE43999.2019.9028492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028492","Computational Thinking;K-12 Education;Teacher Education;Distance Learning","Computed tomography;Programming profession;Computer aided instruction;Tools","","4","","18","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Introducing computational thinking through stealth teaching","M. Towhidnejad; C. Kestler; S. Jafer; V. Nicholas","ECSSE Department, Embry-Riddle Aeronautical University, Daytona Beach, FL; ECSSE Department, Embry-Riddle Aeronautical University, Daytona Beach, FL; ECSSE Department, Embry-Riddle Aeronautical University, Daytona Beach, FL; ECSSE Department, Embry-Riddle Aeronautical University, Daytona Beach, FL",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,"19 Feb 2015","2014","","","1","7","The demand for additional engineering and computing degree graduates continue to increase [1, 2]; however, interest in pursuing these degrees is not matching the predicated demand. More specifically, attracting US students in engineering and computing field has always been a challenge; this is particularly true for female and minority students. Factors such as the ""geek image"", a demanding mathematical foundation, lack of ""gee whiz"" element early in the curriculum, and overall misconception about the career in these areas are all contributors to this problem. This paper describes some of our activities associated with the introduction of Computational Thinking (CT) concepts to middle and high schools. The central tenet of the project is to entice students in grade 6-12 to learn some fundamental and advance topics in engineering and computing field, thereby recognizing their own ability to understand the computing and engineering topics, and potentially recognizing their interest in such topics and potential further education and career in these fields.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044407","Computational Thinking;CS in middle and high schools;Stealth teaching;Teaching through games","Games;Logic gates;Educational institutions;Shift registers;Computed tomography;Fault trees","","3","","7","IEEE","19 Feb 2015","","","IEEE","IEEE Conferences"
"Exploring the Relationship Between Collaborative Discourse, Programming Actions, and Cybersecurity and Computational Thinking Knowledge","B. Yett; C. Snyder; N. Hutchins; G. Biswas","Institute for Software Integrated Systems Vanderbilt University, Nashville, USA; Institute for Software Integrated Systems Vanderbilt University, Nashville, USA; Institute for Software Integrated Systems Vanderbilt University, Nashville, USA; Institute for Software Integrated Systems Vanderbilt University, Nashville, USA","2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","8 Mar 2021","2020","","","213","220","Computational thinking (CT) skills are necessary for solving the real-world problems of today and are therefore being incorporated into K-12 curricula. Cybersecurity is of similar importance; however, it can be difficult for young learners to grasp the required concepts and use them to construct meaningful algorithms. We discuss our approach that combines a hands-on robotics platform with a block-based programming environment to facilitate the learning and application of cybersecurity and CT concepts. Throughout a week-long intervention, high school students were introduced to cybersecurity and CT and given the opportunity to apply this knowledge in a collaborative setting to solve security problems on the robotics platform with instructor and peer support. A series of competitions between groups of students further motivated students to translate their learned concepts to practice, often leading to breakthroughs as students incorporated new algorithms into their existing projects to counteract previous security flaws. We present evidence of the learning behaviors of several such groups through mixed-method case studies integrating data collected from learning performance, collaborative discourse, and analysis of program development. We discuss the impact of this approach on cybersecurity and CT learning and then present future directions for this work.","2470-6698","978-1-7281-6942-2","10.1109/TALE48869.2020.9368459","National Security Agency; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368459","K-12 STEM education;educational robotics;cybersecurity;computational thinking;collaboration","Knowledge engineering;Collaboration;Computer security;Robots;Programming profession;STEM;Programming environments","","2","","30","IEEE","8 Mar 2021","","","IEEE","IEEE Conferences"
"OntoCnE, characterizing Learning Resources for training Computational Thinking","C. Araújo; P. R. Henriques; J. J. Cerqueira","ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; Life and Health Sciences Research Institute (ICVS), University of Minho, Braga, Portugal",2023 International Symposium on Computers in Education (SIIE),"8 Feb 2024","2023","","","1","6","A Computational Thinking (CT) training program proposes a set of instruments to be used in the training, and also a set of recommendations on how to use them. To design such a program it is necessary to have a deep knowledge about the meaning of CT and its targets. Although CT skills are of paramount importance to all (since they bring numerous advantages for problem solving activities), in our context we see them as a pre-requisite for the learning of Computer Programming (CP). In order to design a CT training program supported by a rigorous framework, we decided to build an ontology that goes deeper into the underlying concepts and relates both domains, CT and CP. The outcome, OntoCnE (that stands for Ontologia para Computação na Escola in Portuguese), made clear what shall be trained in terms of reasoning to understand programming and being able to use it to solve problems using the computer. Moreover, OntoCnE also provides a clear insight on the concepts to be taught in each scholar year, as well as, on the instruments (hereafter called Learning Resources, LR) to be used in each moment for each specific purpose. This paper aims to introduce OntoCnE and demonstrates how to use it to classify LRs aiming to build a repository from where they can be picked up in a clear way. Finally, we demonstrate, through the PathIt resource, how the characterization of a concrete LR is performed in OntoCnE.","2476-2172","979-8-3503-2931-5","10.1109/SIIE59826.2023.10423710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423710","Computational Thinking;Ontology;OntoCnE;Learning Resources","Training;Instruments;Ontologies;Cognition;Problem-solving;Programming profession;Guidelines","","1","","25","IEEE","8 Feb 2024","","","IEEE","IEEE Conferences"
"Neuroeducation: Guidelines for Computational Thinking training","C. Araújo; P. R. Henriques; J. J. Cerqueira","ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; Life and Health Sciences Research Institute (ICVS), University of Minho, Braga, Portugal",2023 International Symposium on Computers in Education (SIIE),"8 Feb 2024","2023","","","1","6","Computational Thinking (CT) skills are a key competency for all citizens, but for Computer Programming students these abilities are crucial. Several studies claim that students have deficits in many of the CT skills and therefore it is important to develop and improve these skills. For that purpose, Teachers responsible for the children’s education have to plan as soon as possible effective ways for training CT skills. There are already many Learning Resources (LR) for this training, however, we believe that Neuroeducation can contribute to improving the impact of these LR in the teaching and learning process. Currently, Educational Neuroscience presents a solid set of scientific evidence on how the brain learns more effectively. This important knowledge about the brain’s learning process can be turned into principles applicable in Education. This paper starts emphasising those principles that can benefit the teaching and learning process. Based on this scientific evidence, we propose the adoption of a set of guidelines that can contribute to innovative CT training. Neuroeducation applies the latest theoretical advances in the human brain and psychology to pedagogy. The guidelines inspired by Neuroeducation that we propose here aim to provide instructions for the teacher to apply in their pedagogical practices and in LR, in order to promote more effective training. One concrete LR for primary school, created by our Master’s Students in Computing Education, will be used, as a case study, to illustrate our proposal.","2476-2172","979-8-3503-2931-5","10.1109/SIIE59826.2023.10423685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423685","Computational Thinking;Neuroeducation;Pedagogy;Learning Resources","Training;Neuroscience;Psychology;Ontologies;Proposals;Programming profession;Guidelines","","1","","63","IEEE","8 Feb 2024","","","IEEE","IEEE Conferences"
"Examining Teacher Perspectives on Computational Thinking in K-12 Classrooms","Q. Burke; J. Roschelle; C. Bailey; C. Angevine; J. Weisgrau; K. Mills","Digital Promise, San Mateo, CA; Digital Promise, San Mateo, CA; Clemson University, LSR, Clemson, SC; Digital Promise, San Mateo, CA; Digital Promise, San Mateo, CA; Digital Promise, San Mateo, CA","2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","4 Dec 2020","2020","1","","1","7","This paper examines K-12 teacher perspectives on the promise and challenges of computer science (CS) and computational thinking (CT) education for all students across three states and three school districts-one rural, one suburban, and one urban. Through a series of teacher survey and focus groups, this exploratory research presents the perspectives of K-12 teachers across three distinct vantage points: First, to what degree do these teachers see a clear value as to why CS and CT matter to their students' learning? Second (if the pathway is deemed valuable) who, in their estimates, are the crucial players to help develop a coherent CS/ CT K-12 pathway and what is their capacity? Third, how can such a prospective pathway be practically implemented? These elements of why, who, and how are essential to wider questions around equity of student access to high quality computing, and with this paper, they come from the perspectives of teachers-a group too often left out of early discussions around K-12 curricular design. Discussion section points to how these preliminary surveys and focus groups with teachers offer an early predictor in terms of how each district develops its own K-12 computing pathway, with the expectation that such focus groups offer a powerful research/ evaluation protocol that can be repeated annually among districts to gauge to what extent teachers' hope (and concerns) about comprehensive K-12 computing pathways are warranted.","","978-1-7281-7172-2","10.1109/RESPECT49803.2020.9272483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272483","computational thinking;competency-based education;educational infrastructure","Education;Computer science;Standards;Stakeholders;Engineering profession;Encoding;Statistics","","","","15","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"A Method for Assigning Weight to the Assessment Indicators of Computational Thinking with XGBoost","X. Zeng; W. Zhang; Y. Chen; H. Chen","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; School of Computer Science, Central China Normal University, Wuhan, China; School of Information Technology Application Innovation, Wuhan Polytechnic, Wuhan, China",2023 5th International Workshop on Artificial Intelligence and Education (WAIE),"18 Apr 2024","2023","","","90","95","Computational thinking (CT) assessment indicator assignment is an important strategy for optimizing assessment and an effective method for exploring differences in the importance of assessment indicators. However, the objectivity of the previous methods for assigning assessment indicators of CT is insufficient. Therefore, the paper proposed to use the XGBoost machine learning model to fit the assessment data, fully explore the data features and realize the weighting of CT assessment indicators. The CT assessment indicators are used as the features of XGBoost model training and the assessment levels are used as the training labels to obtain the feature weights through XGBoost model training. The feature weights are used as the CT assessment indicator weights to realize the weighting of assessment indicators of CT in reverse. From the analysis of the CT assessment indicator assignment results, the analysis of the importance of the assessment indicators and the comparative analysis of the assessment results before and after the indicator assignment, it is found that the CT assessment after the indicator assignment has higher robustness and credibility.","","979-8-3503-0706-1","10.1109/WAIE60568.2023.00024","National Natural Science Foundation of China(grant numbers:61977031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496935","Computational thinking;XGBoost;Assessment indicators;Indicator weight","Training;Machine learning algorithms;Conferences;Machine learning;Data models;Robustness","","","","20","IEEE","18 Apr 2024","","","IEEE","IEEE Conferences"
"Sucre4Stem: A K-12 Educational Tool for Integrating Computational Thinking and Programming Across Multidisciplinary Disciplines","S. Trilles; A. Monfort-Muriach; E. Cueto-Rubio; C. López-Girona; C. Granell","Insitute of New Imaging Technologies, Universitat Jaume I, Castellón de la Plana, Spain; Insitute of New Imaging Technologies, Universitat Jaume I, Castellón de la Plana, Spain; Insitute of New Imaging Technologies, Universitat Jaume I, Castellón de la Plana, Spain; Insitute of New Imaging Technologies, Universitat Jaume I, Castellón de la Plana, Spain; Insitute of New Imaging Technologies, Universitat Jaume I, Castellón de la Plana, Spain",IEEE Transactions on Education,"","2024","PP","99","1","10","This article discusses the latest developments of the Sucre4Stem tool, as part of the Sucre initiative, which aims to promote interest in computational thinking and programming skills in K-12 students. The tool follows the Internet of Things approach and consists of two prominent components: 1) SucreCore and 2) SucreCode. SucreCore incorporates an advanced microcontroller packaged in a more compact design and enables wireless connectivity. SucreCode, the block-based visual programming tool, supports two different sets of blocks depending on the education grade, and facilitates wireless communication with SucreCore. At the educational level, Sucre4Stem fosters new group dynamics and encourages students to experiment real-world projects by promoting the “programming to learn” approach to concepts from other disciplines as opposed to the strategy widely applied in schools of “learning to program” in isolation.","1557-9638","","10.1109/TE.2024.3422666","Research Promotion Plan of the Universitat Jaume I(grant numbers:UJI-B2022-64); MCINslash AEIslash 10(grant numbers:501100011033); “ERDF, a way of making Europe”; European Union; Generalitat Valenciana government, Spain; European Union, NextGeneration EU; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10613367","Computational thinking;Internet of Things (IoT);K-12;multidisciplinary disciplines;programming promotion","Programming profession;Education;Sensors;Visualization;Internet of Things;Actuators;STEM","","","","","CCBY","29 Jul 2024","","","IEEE","IEEE Early Access Articles"
"Introducing Computational Thinking in Middle-Schools using a Culturally-responsive Game through a Researcher-Practitioner Partnership","I. Villanueva-Miranda; K. Mortimer; M. Akbar; R. R. Reyes; C. Ontiveros; S. Gray; P. Delgado; V. Medrano; M. Anderson; J. Ramirez; J. Vazquez","Department of Computer Science, University of Texas at El Paso, El Paso, Texas, United States; Department of Teacher Education, University of Texas at El Paso, El Paso, Texas, United States; Department of Computer Science, University of Texas at El Paso, El Paso, Texas, United States; Department of Teacher Education, University of Texas at El Paso, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","4213","4222","There is a national need to increase the number of minority students entering STEM fields with essential computing skills. To increase minority students’ interest and engagement in computing, a researcher-practitioner partnership between the University of Texas at El Paso and the El Paso Independent School District, developed and implemented a culturally and linguistically responsive curriculum and pedagogy to introduce computational thinking (CT) in two middle schools across different subject areas in a borderland region. The curriculum leveraged the Sol y Agua game – a bilingual, culturally-responsive game designed to engage students of this region in CT. This paper describes the process and initial findings of this project. The quantitative data from in-game analyses show that students utilized the language change feature to switch from English to Spanish more frequently than the other way – highlighting the need for educational platforms relatable to students through language, environment, and cultural context. Analyses of the qualitative data indicate that while teachers/team members understood CT and translanguaging concepts and taught lesson units that provided opportunities to practice both, CT and translanguaging were largely implicit in the curriculum. In collaborative analyses of these patterns, teachers described additional supports that would help them to make CT instruction and translanguaging strategies more explicit in the content and pedagogy, highlighting the need for systematic, targeted integration of these concepts.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386409","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386409","Computational thinking;K-12 education;Computer games","Systematics;Education;Curriculum development;Collaboration;Games;Switches;Linguistics","","","","29","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"A Systematic Approach to Catalogue Learning Resources that Promote Computational Thinking","C. Araújo; P. Rangel Henriques; J. José Cerqueira","ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; Life and Health Sciences Research Institute (ICVS), University of Minho, Braga, Portugal",2024 International Symposium on Computers in Education (SIIE),"29 Jul 2024","2024","","","1","6","Computational Thinking (CT) is a transversal ability to solve problems in any area, is crucial for Computer Programming. We believe that CT skills should be developed and encouraged from a young age. However, to promote the development of CT it is necessary to use appropriate materials, which we call Learning Resources (LR). For a more efficient development of CT, it is important that the LR are designed and used in order to obtain the maximum potential of the resource. Scientific evidence from Neuroeducation can be used to fully explore LR. There are many LR available to promote CT, however, they are not correctly classified in order to be easy to understand what specific CT skills they stimulate, neither which ages they are adequate for. Directions for their most convenient usage are also lacking. This paper aims to present an approach to categorize these LR so that when a teacher intends to promote the development of one or more specific CT skills, in a given schooling year, he can find the adequate LR more easily, and also get educational resources concerning their use. This characterization approach is based on OntoCnE ontology. OntoCnE was built by us and is composed of 4 layers that define: how to develop CT (1); which concepts should be taught at each school level (2); which materials are appropriate for each skill (3); and the Neuroeducation guidelines associated with each resource (4). This paper essentially focuses on layers 3 and 4 to perform the LR characterization. To illustrate our approach, we will follow OntoCnE statements to categorize a set of LRs. With this methodological setting we intend to build a catalog of LR more effectively promote CT skills on children.","2476-2172","979-8-3503-7661-6","10.1109/SIIE63180.2024.10604485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10604485","Computational Thinking;Ontology;OntoCnE;Learning Resources;Neuroeducation","Systematics;Education;Ontologies;Problem-solving;Programming profession;Guidelines","","","","16","IEEE","29 Jul 2024","","","IEEE","IEEE Conferences"
"Constructing a Computational Thinking Evaluation Framework for Pupils","Y. -S. Su; X. Wang; L. Zhao","Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan; School of Education Science, Nanjing Normal University, Nanjing, China; School of Education Science, Nanjing Normal University, Nanjing, China",IEEE Transactions on Education,"","2024","PP","99","1","11","Research Purpose and Contribution: The study aimed to construct an evaluation framework for assessing pupils’ computational thinking (CT) during classroom learning problem solving. As a self-report evaluation scale for pupils, this evaluation framework further enriched the CT assessment instruments for pupils and provided a specialized instrument for experts to evaluate pupils’ CT in problem-solving situations during classroom learning.  Background: CT cultivation and assessment methods are hot topics in the field of education. CT assessment can effectively test the effect of CT cultivation. There are many CT assessment methods, of which evaluation frameworks are an effective self-reporting assessment method. Existing studies on self-reported CT evaluation frameworks are commonly applicable to students at different stages. However, few studies have focused on the specific context from the perspective of practice for pupils. Thus, the evaluation framework of pupils’ CT is worth exploring.  Intended Outcomes: A CT evaluation framework for evaluating pupils’ CT in problem-solving situations in classroom learning was constructed to facilitate researchers’ understanding of pupils’ CT levels and problem-solving skills.  Application Design: In this study, data from 897 pupils in the fifth and sixth grades were collected using an online questionnaire that included 27 items about CT. Exploratory factor analysis (EFA), confirmatory factor analysis (CFA), and item analysis were conducted to analyze the data in this study, with 17 items remaining in the final evaluation framework.  Findings: The fitting validity, convergence validity, and discriminant validity all met the recommended criteria, which showed that the evaluation framework was effective. The total reliability of CT was 0.911, indicating that the consistency and reliability of the evaluation framework constructed in this study were satisfied.","1557-9638","","10.1109/TE.2024.3424423","National Science and Technology Council of Taiwan(grant numbers:NSTC 111-2410-H-019-006-MY3,NSTC 111-2423-H-153-001-MY3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10676315","Classroom learning;computational thinking (CT);evaluation framework;pupils","Instruments;Pupils;Problem-solving;Education;Programming profession;Reliability;Creativity","","","","","IEEE","11 Sep 2024","","","IEEE","IEEE Early Access Articles"
"A Survey on Story Generation Techniques for Authoring Computational Narratives","B. Kybartas; R. Bidarra","Computer Graphics and Visualization Group, Delft University of Technology, CD Delft, The Netherlands; Computer Graphics and Visualization Group, Delft University of Technology, CD Delft, The Netherlands",IEEE Transactions on Computational Intelligence and AI in Games,"13 Sep 2017","2017","9","3","239","253","Computers are often used as tools to design, implement, and even visualize a variety of narrative forms. Many researchers and artists are now further attempting to engage the computer actively throughout the development of the narrative itself. Any form of computational narrative authoring is at some level always mixed-initiative , meaning that the processing capabilities of the computer are utilized with a varying degree to automate certain features of the authoring process. We structure this survey by focusing on two key components of stories, plot and space, and more specifically the degree to which these are either automated by the computer or authored manually. By examining the successes of existing research, we identify potential new research directions in the field of computational narrative. We also identify the advantages of developing a standard model of narrative to allow for collaboration between plot and space automation techniques. This would likely benefit the field of automated space generation with the strengths in the field of automated plot generation.","1943-0698","","10.1109/TCIAIG.2016.2546063","Netherlands Organisation for Scientific Research(grant numbers:314-99-104); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439785","Automated storytelling;computational narrative authoring;procedural content generation;story generation","Computers;Automation;Manuals;Computational modeling;Collaboration;Aerospace electronics;Visualization","","69","","104","IEEE","23 Mar 2016","","","IEEE","IEEE Journals"
"Computational Modeling of Prefrontal Cortex for Meta-Cognition of a Humanoid Robot","E. Daglarli","Faculty of Computer and Informatics Engineering, Istanbul Technical University, Istanbul, Turkey",IEEE Access,"3 Jun 2020","2020","8","","98491","98507","For robot intelligence and human-robot interaction (HRI), complex decision-making, interpretation, and adaptive planning processes are great challenges. These require recursive task processing and meta-cognitive reasoning mechanism. Naturally, the human brain realizes these cognitive skills by prefrontal cortex which is a part of the neocortex. Previous studies about neurocognitive robotics would not meet these requirements. Thus, it is aimed at developing a brain-inspired robot control architecture that performs spatial-temporal and emotional reasoning. In this study, we present a novel solution that covers a computational model of the prefrontal cortex for humanoid robots. Computational mechanisms are mainly placed on the bio-physical plausible neural structures embodied in different dynamics. The main components of the system are composed of several computational modules including dorsolateral, ventrolateral, anterior, and medial prefrontal regions. Also, it is responsible for organizing the working memory. A reinforcement meta-learning based explainable artificial intelligence (xAI) procedure is applied to the working memory regions of the computational prefrontal cortex model. Experimental evaluation and verification tests are processed by the developed software framework embodied in the humanoid robot platform. The humanoid robots' perceptual states and cognitive processes including emotion, attention, and intention-based reasoning skills can be observed and controlled via the developed software. Several interaction scenarios are implemented to monitor and evaluate the model's performance.","2169-3536","","10.1109/ACCESS.2020.2998396","NVIDIA Corporation through the GPU Grant Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103513","Artificial intelligence;brain modeling;cognitive robotics;human-robot interaction","Computational modeling;Humanoid robots;Brain modeling;Cognition;Computer architecture;Biological system modeling","","8","","110","CCBY","29 May 2020","","","IEEE","IEEE Journals"
"Automating the Detection of Personally Identifiable Information (PII) in Japanese-American WWII Incarceration Camp Records","R. Marciano; W. Underwood; M. Hanaee; C. Mullane; A. Singh; Z. Tethong","College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA",2018 IEEE International Conference on Big Data (Big Data),"24 Jan 2019","2018","","","2725","2732","We describe computational treatments of archival collections through a case study involving World War II Japanese-American Incarceration Camps. We focus on automating the detection of personally identifiable information or PII. The paper also discusses the emergence of computational archival science (CAS) and the development of a computational framework for library and archival education. Computational Thinking practices are applied to Archival Science practices. These include: (1) data creation, manipulation, analysis, and visualization (2) designing and constructing computational models, and (3) computer programming, developing modular computational solutions, and troubleshooting and debugging. We conclude with PII algorithm accuracy, transparency, and performance considerations and future developments.","","978-1-5386-5035-6","10.1109/BigData.2018.8622634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622634","Computational Thinking;Digital Curation;Computational Archival Science (CAS);PII;Privacy","Libraries;Indexes;Privacy;Computational modeling;Conferences;Tools;Data visualization","","8","","8","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Research on the Teaching Reform of Public Basic Courses of Computer at Universities under the Thinking of New Engineering","T. Tao; Z. Funan; R. Lei; L. Yuan; C. Zekai; C. Yuezhong","School of Computer Science and Technology, Anhui University of Technology, China; Engineering Research Institute, Anhui University of Technology, China; Engineering Research Institute, Anhui University of Technology, China; School of Computer Science and Technology, Anhui University of Technology, China; School of Computer Science and Technology, Anhui University of Technology, China; School of Computer Science and Technology, Anhui University of Technology, China",2021 16th International Conference on Computer Science & Education (ICCSE),"21 Oct 2021","2021","","","975","977","With the development of computer technology, the current concept of “computational thinking” has been generally recognized by everyone. “Computational thinking” provides strong support for the development and research of various disciplines. The reform of university computer basic courses guided by “computational thinking” has become an important direction for the current reform of computer public basic courses. In recent years, our school’s series of reform measures based on the public basic courses of computer have achieved obvious results, which proves that this orientation is worthy of promotion.","2473-9464","978-1-6654-1468-5","10.1109/ICCSE51940.2021.9569502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569502","New Engineering;Thinking of New Engineering;public basic courses;research on teaching reform;college computer","Current measurement;Engineering education","","","","4","IEEE","21 Oct 2021","","","IEEE","IEEE Conferences"
"Educational Robotics Applied to Computational Thinking Development: A Systematic Mapping Study","I. M. L. Souza; W. L. Andrade; L. M. R. Sampaio","Federal University of Campina Grande, Campina Grande, PB, Brazil; Federal University of Campina Grande, Campina Grande, PB, Brazil; Federal University of Campina Grande, Campina Grande, PB, Brazil",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","8","Educational Robotics (ER) is a tool that can favor teamwork, stimulate creativity, and the ability to solve students' problems through the process of assembling and programming robots. In this sense, ER has been used to improve educational practices. There are several initiatives that seek to stimulate Computational Thinking (CT) to stand out. Although ER being used to develop CT, there are still no guidelines based on scientific studies that support this use. The objective of this Research Full Paper is to identify: a) the main pedagogical approaches are applied in classes with ER focused on developing students' CT; b) the central difficulties are encountered in classes with ER focused on developing students' CT; c) the CT skills are presents in classes with ER focused on developing students' CT; d) the instruments are used to assess students' CT during classes with ER; e) the students' profile who participated in classes with ER focused o on developing students' CT; f) the educational robotics technologies are adopted in classes focused on developing students' CT. To achieve these goals, we planned and carried out systematic mapping of the literature. The results show that, through ER, CT is approached through the teaching of programming languages in a collaborative way in Early Childhood and High School. The most CT skills observed are related to programming, such as sequencing, algorithm, loop, generalization, decomposition, and debugging. The main instruments for assessing students are tests, and the most significant difficulty is the limitation of class hours. Finally, LEGO® is the most used technology in class.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637185","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior – Brasil (CAPES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637185","","Systematics;Instruments;Education;Debugging;Robot sensing systems;Teamwork;Object recognition","","3","","60","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
